startup_name,founded_year,country,industry,fundin_stage,total_funding ($M),employees,annual_revenue ($M),valuation ($B),acquired,IPO,customer_base (M)
Startup_83,2016,Australia,Energy,Series C,113,2671,494,9.07,Yes,Yes,21
Startup_84,2005,China,Energy,Series A,438,4725,838,46.66,Yes,No,12
Startup_85,2010,UK,Energy,Series B,228,4885,985,28.14,Yes,Yes,83
Startup_86,2011,UK,AI,Series B,349,4395,494,0.41,No,Yes,44
Startup_87,2006,USA,Tech,Series C,479,3651,727,8.02,Yes,Yes,36
Startup_88,2020,India,Healthcare,IPO,139,1415,520,47.94,Yes,No,89
Startup_89,2000,Brazil,AI,Seed,257,3117,863,13.55,Yes,No,56
Startup_90,2012,France,Energy,IPO,496,1178,603,16.82,Yes,Yes,98
Startup_91,2020,Brazil,Gaming,Seed,32,487,217,30.13,Yes,Yes,24
Startup_92,2007,China,E-commerce,IPO,9,1066,791,47.26,Yes,Yes,84
Startup_93,2014,India,FinTech,Series B,67,2765,93,24.54,No,No,29
Startup_94,2008,Germany,Energy,Series A,81,979,329,38.65,No,Yes,42
Startup_95,2006,India,EdTech,Series B,293,4767,808,3.39,No,No,16
Startup_96,2004,France,AI,IPO,112,2838,341,39.03,No,Yes,13
Startup_97,2009,USA,FinTech,Seed,72,894,811,32.73,Yes,Yes,79
Startup_98,2020,Germany,FoodTech,Series C,340,2505,710,10.07,No,Yes,8
Startup_99,2007,Germany,EdTech,Series C,420,4821,262,22.57,Yes,No,11
Startup_100,2016,Brazil,EdTech,Seed,55,2035,476,39.48,No,Yes,71
Startup_101,2007,USA,EdTech,Series B,165,4329,346,45.48,Yes,Yes,46
Startup_102,2000,China,FinTech,Series C,376,1018,924,9.17,Yes,Yes,7
Startup_103,2018,UK,Energy,Series A,110,4246,618,30.12,No,Yes,89
Startup_104,2015,China,Logistics,IPO,492,1064,29,11.6,No,Yes,93
Startup_105,2000,France,Logistics,Seed,306,4780,805,47.77,No,Yes,55
Startup_106,2008,Japan,E-commerce,IPO,291,4908,707,38.82,Yes,Yes,94
Startup_107,2012,Japan,E-commerce,Seed,305,4485,352,11.13,No,No,65
Startup_108,2011,Brazil,Tech,Series C,232,2772,92,47.42,No,Yes,28
Startup_109,2007,Japan,Tech,IPO,15,737,50,33.3,No,Yes,56
Startup_110,2022,USA,E-commerce,Series C,233,1152,999,14.27,No,No,3
Startup_111,2002,USA,FinTech,Series B,455,4924,467,40.6,No,Yes,50
Startup_112,2021,Canada,FinTech,Series B,407,4959,703,25.76,No,No,83
Startup_113,2002,Germany,Logistics,Seed,292,3968,876,31.67,No,Yes,70
Startup_114,2011,UK,Gaming,IPO,409,3815,591,18.04,No,No,70
Startup_115,2009,Brazil,Energy,Series A,282,693,601,16.2,No,Yes,61
Startup_116,2011,Australia,Healthcare,Seed,181,1238,58,0.53,No,Yes,86
Startup_117,2022,Brazil,Tech,Series A,83,921,278,46.23,No,No,59
Startup_118,2011,Japan,AI,IPO,465,2947,144,43.92,No,Yes,57
Startup_119,2000,Japan,AI,Series A,60,1298,732,34.24,Yes,No,2
Startup_120,2007,Australia,Energy,Series A,420,4674,691,49.01,Yes,No,33
Startup_121,2008,Australia,Logistics,Series A,243,1172,634,8.77,Yes,Yes,80
Startup_122,2022,Australia,FinTech,Series A,455,3074,14,12.98,No,No,95
Startup_123,2014,Canada,AI,Seed,267,4484,594,19.62,No,Yes,99
Startup_124,2010,China,FoodTech,Series C,285,3333,859,16.56,No,No,1
Startup_125,2003,Japan,Logistics,Series A,126,3005,466,11.32,Yes,No,54
Startup_126,2013,China,Energy,Seed,18,4988,716,15.14,No,Yes,17
Startup_127,2012,Australia,FoodTech,Series B,323,3800,312,33.15,No,Yes,15
Startup_128,2015,USA,FinTech,Series B,120,589,537,11,No,Yes,62
Startup_129,2002,Canada,Gaming,Series C,93,3042,562,30.07,Yes,No,70
Startup_130,2022,China,Gaming,Series C,210,4083,465,34.55,Yes,No,19
Startup_131,2006,Germany,EdTech,Series C,282,814,757,10.67,No,No,14
Startup_132,2005,UK,Logistics,Seed,434,810,392,37.22,No,No,74
Startup_133,2014,Germany,Tech,IPO,106,1238,454,7.05,Yes,No,83
Startup_134,2016,UK,Tech,IPO,413,3142,893,35.34,Yes,Yes,22
Startup_135,2000,India,E-commerce,Series A,364,279,428,36.79,No,Yes,54
Startup_136,2020,UK,FoodTech,Series C,157,2895,741,28.3,Yes,Yes,89
Startup_137,2003,Japan,Energy,Seed,177,2065,561,32.81,Yes,No,53
Startup_138,2015,Germany,Healthcare,Series C,358,2010,623,42.25,No,No,90
Startup_139,2018,Canada,EdTech,Series C,381,4646,921,22.08,Yes,No,24
Startup_140,2012,China,Tech,IPO,108,1498,856,18.01,No,No,80
Startup_141,2022,China,Logistics,IPO,302,4200,757,24.17,No,Yes,21
Startup_142,2012,Germany,FoodTech,Series C,79,330,210,38.26,Yes,Yes,30
Startup_143,2003,Germany,Energy,Seed,388,241,50,39.23,No,Yes,96
Startup_144,2021,China,E-commerce,IPO,445,2055,394,8.99,No,Yes,96
Startup_145,2017,China,FoodTech,Seed,362,3684,450,33.49,No,Yes,16
Startup_146,2021,UK,AI,Series A,191,1970,77,48.17,Yes,Yes,37
Startup_147,2014,USA,Energy,Series C,472,4553,629,12.31,No,Yes,88
Startup_148,2022,Japan,Gaming,Series A,430,1969,966,13.48,No,No,38
Startup_149,2020,Japan,EdTech,Series A,430,1540,904,19.06,Yes,No,47
Startup_150,2004,France,EdTech,Seed,57,1254,987,48.06,Yes,No,43
Startup_151,2003,Japan,Logistics,Series C,445,4501,613,23.86,Yes,Yes,23
Startup_152,2020,France,Energy,Series A,406,2164,527,10.12,Yes,Yes,12
Startup_153,2002,Brazil,Healthcare,Series B,473,3409,743,16.28,Yes,Yes,27
Startup_154,2020,India,AI,Series C,350,3486,943,30.96,No,No,73
Startup_155,2012,Brazil,E-commerce,Series A,163,2202,198,27.72,Yes,Yes,50
Startup_156,2007,Brazil,EdTech,Series A,126,44,565,28.02,No,Yes,49
Startup_157,2005,Brazil,Tech,Series B,299,4027,587,16.37,No,No,68
Startup_158,2008,Japan,FinTech,Series C,494,3383,691,43.44,Yes,No,88
Startup_159,2000,Canada,Logistics,IPO,240,908,263,40,Yes,No,70
Startup_160,2019,USA,Healthcare,Series C,128,3354,738,2.47,No,No,59
Startup_161,2004,France,FinTech,Series B,46,2988,73,15.77,No,Yes,19
Startup_162,2006,Japan,FinTech,Series A,229,2598,647,49.47,No,Yes,41
Startup_163,2021,Australia,Tech,Series C,357,2815,21,4.14,No,Yes,49
Startup_164,2001,India,Healthcare,Series A,215,4592,686,14.79,No,Yes,12
Startup_165,2006,UK,EdTech,Series B,244,4436,773,31.59,No,No,36
Startup_166,2002,Canada,E-commerce,Series B,140,3247,477,42.06,No,Yes,46
Startup_167,2016,Australia,EdTech,Series C,180,4978,847,17.88,No,No,75
Startup_168,2013,France,Gaming,Series C,372,1562,224,20.24,No,Yes,95
Startup_169,2011,USA,Logistics,Series C,394,402,755,10.14,No,Yes,53
Startup_170,2007,France,FoodTech,Series C,54,1121,32,37.74,No,No,95
Startup_171,2022,Canada,Healthcare,Series A,317,2579,419,46.34,Yes,Yes,87
Startup_172,2004,Brazil,AI,Series B,294,4201,694,6.06,Yes,Yes,38
Startup_173,2016,China,Energy,IPO,347,826,829,0.2,No,Yes,27
Startup_174,2011,Brazil,Healthcare,IPO,393,4833,678,36.18,Yes,Yes,64
Startup_175,2022,Canada,FoodTech,Seed,51,4772,87,23.23,Yes,No,30
Startup_176,2010,Japan,EdTech,Series C,23,3615,906,20.88,Yes,Yes,38
Startup_177,2012,UK,Tech,Series B,466,1905,230,39.98,No,Yes,73
Startup_178,2022,UK,Healthcare,Series C,237,1337,496,42.06,No,No,34
Startup_179,2002,Germany,E-commerce,Series C,314,1671,452,19.61,Yes,Yes,87
Startup_180,2001,Canada,FoodTech,Series C,327,3978,652,46.79,No,Yes,27
Startup_181,2009,Canada,Energy,Series C,96,98,628,46.18,No,No,63
Startup_182,2008,India,Healthcare,Series C,28,376,448,38.69,Yes,Yes,8
Startup_183,2022,Brazil,Energy,IPO,59,4022,489,33.49,Yes,No,14
Startup_184,2011,Australia,Logistics,Series A,161,2672,527,16.9,No,No,95
Startup_185,2003,France,FinTech,Series B,393,3856,893,12.65,Yes,Yes,21
Startup_186,2015,Japan,Gaming,Series C,415,853,660,13.48,Yes,No,6
Startup_187,2014,UK,Healthcare,Series B,405,2393,786,5.43,No,Yes,90
Startup_188,2005,Japan,AI,Seed,364,4205,741,41.43,Yes,No,40
Startup_189,2017,Japan,FoodTech,Seed,175,3220,232,10.84,Yes,No,58
Startup_190,2011,Australia,Gaming,Series A,414,243,451,15.9,Yes,No,96
Startup_191,2008,Australia,FoodTech,Series A,379,3557,433,35.38,Yes,No,30
Startup_192,2006,Brazil,AI,Series B,224,2336,295,9.25,Yes,No,74
Startup_193,2015,Canada,Gaming,Seed,70,72,25,29.31,Yes,Yes,12
Startup_194,2014,India,Tech,Series A,287,1412,955,12.45,No,Yes,64
Startup_195,2006,India,Healthcare,Series B,490,980,519,30.82,Yes,Yes,16
Startup_196,2008,Canada,Logistics,Series B,329,2991,496,15.74,Yes,Yes,14
Startup_197,2016,Japan,Logistics,Series C,280,1001,486,45.14,Yes,No,67
Startup_198,2001,India,Tech,IPO,258,2742,431,1.64,No,No,56
Startup_199,2012,USA,EdTech,Seed,254,891,489,14.39,Yes,Yes,74
Startup_200,2007,USA,Healthcare,Seed,315,2825,364,42.72,No,No,38
Startup_201,2018,Canada,Healthcare,IPO,237,4074,357,17.4,Yes,Yes,43
Startup_202,2004,Canada,FoodTech,Seed,422,4895,639,33.24,No,Yes,82
Startup_203,2005,India,AI,IPO,213,3424,83,4.2,No,Yes,78
Startup_204,2021,Germany,FoodTech,Series A,40,592,266,20.47,Yes,Yes,68
Startup_205,2003,India,AI,Seed,304,3420,176,32.35,No,Yes,24
Startup_206,2012,Canada,Tech,Series C,9,4765,120,27.32,No,No,67
Startup_207,2004,Japan,Healthcare,Series C,357,2529,992,44.01,No,No,3
Startup_208,2020,UK,Energy,IPO,466,4871,486,47.69,Yes,Yes,5
Startup_209,2018,UK,E-commerce,Series A,130,4142,771,32.71,No,No,54
Startup_210,2019,USA,Healthcare,Seed,221,3026,956,13.96,No,No,64
Startup_211,2007,USA,FinTech,Series B,411,3513,69,17.84,Yes,No,55
Startup_212,2017,China,Tech,Series B,5,306,318,15.79,Yes,Yes,92
Startup_213,2006,Brazil,EdTech,Series C,473,1537,211,2.15,Yes,No,97
Startup_214,2007,Canada,Energy,Series B,353,4650,321,18.06,No,Yes,3
Startup_215,2004,Germany,FoodTech,Seed,372,1170,766,42.38,No,Yes,69
Startup_216,2017,Brazil,FinTech,Series B,334,1739,995,17.12,Yes,No,66
Startup_217,2002,UK,Gaming,Series B,322,4526,101,38.92,No,Yes,79
Startup_218,2014,Australia,AI,Series A,220,450,878,49.72,Yes,No,20
Startup_219,2011,USA,EdTech,Series C,241,2202,574,23.95,Yes,Yes,39
Startup_220,2020,USA,E-commerce,Seed,152,113,123,30.66,No,Yes,14
Startup_221,2001,UK,Logistics,Seed,433,1511,403,5.55,No,Yes,5
Startup_222,2002,India,EdTech,Series A,12,1730,190,16.84,No,Yes,84
Startup_223,2001,China,EdTech,Series B,214,1996,42,44.05,Yes,No,6
Startup_224,2009,China,EdTech,Series A,55,2762,687,34.2,Yes,No,11
Startup_225,2015,Australia,FoodTech,Series A,182,354,153,45.72,Yes,No,53
Startup_226,2018,Germany,Gaming,Series A,437,1156,132,46.79,Yes,No,83
Startup_227,2009,France,Tech,Seed,198,1407,821,10.74,Yes,Yes,89
Startup_228,2015,Brazil,Healthcare,Series C,87,3108,967,43.66,No,Yes,61
Startup_229,2018,India,Energy,Seed,209,2323,630,18.29,Yes,Yes,47
Startup_230,2009,Australia,Energy,IPO,456,4805,586,33.6,Yes,No,5
Startup_231,2006,Canada,Energy,Series B,48,2575,259,31.17,No,No,95
Startup_232,2015,Australia,Tech,IPO,424,3254,282,37.23,Yes,No,54
Startup_233,2022,France,Logistics,Series C,486,3438,882,28.15,No,Yes,79
Startup_234,2011,China,Logistics,Series A,340,2399,813,14.98,Yes,No,53
Startup_235,2001,India,Logistics,IPO,133,1088,463,10.13,No,Yes,86
Startup_236,2013,Japan,Tech,Series C,392,2188,955,28.58,Yes,No,2
Startup_237,2004,Brazil,Energy,Series A,496,2776,611,42.66,No,No,21
Startup_238,2013,Japan,AI,Series B,252,465,499,15.4,Yes,Yes,32
Startup_239,2013,Canada,Tech,Seed,295,2445,345,35.51,No,No,14
Startup_240,2014,Japan,Energy,Seed,213,4413,413,48.19,Yes,Yes,80
Startup_241,2022,Canada,AI,IPO,259,3342,841,2.56,No,No,49
Startup_242,2005,Germany,Healthcare,Series A,104,4328,13,36.6,Yes,Yes,68
Startup_243,2004,UK,FoodTech,Series C,167,3096,889,20.47,No,No,20
Startup_244,2005,France,FoodTech,Series A,426,4039,376,29.84,No,Yes,48
Startup_245,2005,China,Tech,IPO,242,2751,987,47.13,Yes,No,4
Startup_246,2016,USA,EdTech,IPO,67,3198,948,44.99,No,Yes,64
Startup_247,2016,China,AI,Seed,322,3647,91,24.8,No,No,46
Startup_248,2002,UK,Healthcare,IPO,445,1491,722,7.57,No,Yes,64
Startup_249,2019,India,FinTech,IPO,288,1166,290,29.29,No,No,36
Startup_250,2016,Australia,EdTech,Series C,230,2148,354,6.07,Yes,Yes,6
Startup_251,2010,Australia,FinTech,Series A,255,4390,905,43.4,No,Yes,85
Startup_252,2021,China,E-commerce,Seed,46,4897,623,16.54,Yes,No,18
Startup_253,2022,France,FoodTech,Series C,90,4583,12,12.96,Yes,No,75
Startup_254,2011,Germany,AI,Series C,410,4035,965,36.49,No,Yes,76
Startup_255,2008,USA,AI,Series A,341,3257,851,21.26,Yes,No,61
Startup_256,2020,India,EdTech,Seed,291,3452,270,1.04,No,Yes,72
Startup_257,2018,France,AI,Series A,323,3030,396,40.84,Yes,No,87
Startup_258,2018,France,Logistics,IPO,454,1013,906,17.11,No,No,24
Startup_259,2015,Japan,Gaming,Series B,6,420,578,2.65,Yes,No,54
Startup_260,2013,UK,AI,Series C,69,3296,433,3.08,Yes,No,76
Startup_261,2001,Germany,Healthcare,IPO,492,915,251,1.55,Yes,Yes,17
Startup_262,2009,France,FinTech,Seed,181,1969,910,47.44,No,No,27
Startup_263,2000,UK,Logistics,Seed,359,4576,105,29.94,No,Yes,61
Startup_264,2019,India,Logistics,Series A,422,2243,436,11.42,Yes,Yes,11
Startup_265,2008,Germany,Tech,Series B,142,4608,480,12.4,Yes,Yes,86
Startup_266,2008,Brazil,Healthcare,Seed,453,937,534,31.08,Yes,Yes,19
Startup_267,2002,Canada,Healthcare,Series A,361,1815,2,11.26,Yes,Yes,8
Startup_268,2009,Australia,Logistics,Series A,366,3713,230,28.51,No,Yes,90
Startup_269,2010,France,Logistics,IPO,189,3689,9,11.96,Yes,No,28
Startup_270,2019,Japan,AI,Series A,316,2939,905,43.47,No,Yes,68
Startup_271,2008,France,Healthcare,Series A,40,3519,973,7.57,Yes,No,24
Startup_272,2003,UK,Logistics,Seed,399,4261,625,22.75,Yes,Yes,96
Startup_273,2014,France,FinTech,IPO,414,2635,339,38.11,Yes,No,48
Startup_274,2001,Brazil,Gaming,Series A,333,1624,589,42.02,Yes,Yes,10
Startup_275,2015,India,FinTech,Seed,403,2431,608,36.14,No,Yes,32
Startup_276,2001,USA,Logistics,Series A,167,4280,415,36.5,No,No,36
Startup_277,2014,Canada,FinTech,Series B,35,4706,787,32.6,Yes,Yes,58
Startup_278,2012,USA,Gaming,Series A,267,4060,248,8.91,No,No,61
Startup_279,2020,France,Logistics,Series C,253,2835,468,40.37,No,No,20
Startup_280,2016,USA,Energy,Series C,347,900,80,27.17,Yes,No,95
Startup_281,2012,China,Logistics,IPO,55,4313,151,46.53,No,Yes,5
Startup_282,2014,Germany,Healthcare,Series C,290,3779,799,20.54,No,No,63
Startup_283,2002,Japan,Gaming,Seed,133,4021,691,29.11,Yes,Yes,65
Startup_284,2002,USA,FinTech,IPO,73,563,192,20.34,Yes,Yes,28
Startup_285,2015,Australia,Gaming,Series B,227,4343,652,1.99,Yes,No,12
Startup_286,2004,UK,Tech,Series A,343,4100,274,8.92,Yes,Yes,23
Startup_287,2008,UK,Tech,Series C,349,684,62,16.15,Yes,Yes,80
Startup_288,2001,Germany,AI,Seed,484,2867,464,36.08,Yes,Yes,18
Startup_289,2014,Germany,FinTech,Series C,271,4413,593,10.8,Yes,Yes,76
Startup_290,2009,Japan,Energy,Series B,262,2273,945,28.1,No,Yes,94
Startup_291,2011,UK,Energy,Seed,377,4025,342,10.68,No,No,87
Startup_292,2002,India,Energy,Series B,358,448,744,16.92,No,No,58
Startup_293,2001,Canada,Logistics,IPO,333,4596,481,13.75,No,Yes,30
Startup_294,2017,UK,Healthcare,IPO,99,1355,372,33.38,No,No,37
Startup_295,2008,Brazil,Healthcare,Series C,396,4263,93,34.93,No,No,33
Startup_296,2009,USA,FinTech,Seed,117,976,708,4.31,Yes,Yes,2
Startup_297,2013,Canada,Gaming,Series A,314,3303,421,5.63,Yes,No,49
Startup_298,2022,Australia,AI,Series C,26,3411,404,22.52,No,Yes,55
Startup_299,2007,Germany,FoodTech,IPO,8,1418,554,11.44,Yes,No,45
Startup_300,2012,India,Healthcare,Series C,343,4826,126,42.73,No,Yes,44
Startup_301,2010,Australia,Energy,IPO,109,782,166,19.6,Yes,No,12
Startup_302,2004,USA,Healthcare,IPO,8,2342,549,45.13,Yes,No,89
Startup_303,2018,Japan,E-commerce,Seed,270,3049,501,36.28,Yes,No,34
Startup_304,2001,Australia,FinTech,Series A,348,2749,228,22.4,Yes,Yes,57
Startup_305,2013,China,EdTech,Series B,372,4939,98,12.46,Yes,Yes,29
Startup_306,2014,Japan,Gaming,Series B,416,3325,794,43.43,Yes,No,30
Startup_307,2016,Australia,FinTech,Series C,148,2572,263,25.01,Yes,Yes,46
Startup_308,2015,India,FinTech,Series B,402,2198,912,11.49,Yes,Yes,82
Startup_309,2017,Japan,Energy,Series A,435,53,78,28.33,No,Yes,36
Startup_310,2016,Australia,Gaming,Series A,85,4800,172,14.09,No,Yes,28
Startup_311,2021,India,EdTech,Series B,158,55,652,34.18,Yes,Yes,43
Startup_312,2011,Japan,Healthcare,Seed,136,2066,560,37.29,Yes,No,64
Startup_313,2000,Japan,Logistics,Series C,478,3921,496,13.39,No,Yes,95
Startup_314,2008,USA,Gaming,Seed,303,2904,275,10.25,No,No,11
Startup_315,2002,France,FinTech,Series A,190,678,846,4.29,No,No,10
Startup_316,2022,Germany,EdTech,Series B,419,2599,115,38.85,Yes,Yes,99
Startup_317,2008,France,Energy,Series C,225,3516,747,4.03,Yes,No,49
Startup_318,2020,Australia,Tech,Seed,162,4763,201,37.81,No,Yes,43
Startup_319,2010,India,Gaming,Series A,282,194,80,10.17,Yes,No,50
Startup_320,2016,USA,Energy,Series C,3,3833,227,27.28,No,No,94
Startup_321,2006,Canada,AI,Series B,413,767,94,14.6,Yes,Yes,76
Startup_322,2021,China,Energy,Series B,233,2590,625,29.01,No,No,14
Startup_323,2020,Canada,AI,Series A,124,1045,947,45.05,Yes,No,93
Startup_324,2002,India,E-commerce,Series A,352,1531,261,31.33,No,Yes,36
Startup_325,2020,India,FoodTech,IPO,34,329,647,19.42,No,No,72
Startup_326,2020,UK,E-commerce,IPO,93,400,596,5.15,Yes,Yes,15
Startup_327,2022,China,Tech,Series B,158,1490,381,28.6,No,Yes,24
Startup_328,2015,Germany,AI,Series A,260,694,580,49.13,Yes,Yes,16
Startup_329,2021,China,FinTech,IPO,210,2889,516,41.99,Yes,Yes,27
Startup_330,2015,Germany,FoodTech,IPO,481,285,837,30.5,No,Yes,49
Startup_331,2010,Japan,E-commerce,Series A,461,4552,428,1.4,No,No,23
Startup_332,2017,Brazil,EdTech,Series C,260,3839,439,16.99,Yes,No,34
Startup_333,2004,Canada,FoodTech,IPO,129,4666,858,20.3,No,Yes,63
Startup_334,2002,Brazil,Gaming,Series A,327,26,129,26.99,Yes,No,31
Startup_335,2007,India,EdTech,Seed,131,4043,282,28.51,No,No,62
Startup_336,2005,Canada,E-commerce,IPO,186,1763,466,13.02,No,Yes,63
Startup_337,2006,Brazil,FinTech,Series C,107,4458,507,11.09,No,Yes,4
Startup_338,2002,France,FinTech,Series A,82,1205,366,1.49,Yes,No,21
Startup_339,2011,Brazil,E-commerce,Series A,257,4889,148,37.56,No,Yes,71
Startup_340,2021,UK,Energy,IPO,471,1727,433,23.69,Yes,No,3
Startup_341,2006,Brazil,FoodTech,Seed,363,1636,839,44.1,No,No,27
Startup_342,2005,France,Gaming,IPO,163,4977,402,36.86,No,Yes,42
Startup_343,2004,China,EdTech,IPO,264,2039,3,2.5,No,Yes,33
Startup_344,2004,UK,Healthcare,IPO,14,1273,36,48.42,Yes,No,82
Startup_345,2000,France,E-commerce,IPO,14,2405,272,46.32,No,Yes,77
Startup_346,2018,Brazil,Energy,Seed,327,2068,200,13.57,No,No,78
